response,predictor,n,spearman_rho,p_value
front_loaded_fraction,mean_maximum_temperature_c,237235,-0.028200021817051557,6.012939551890909e-43
front_loaded_fraction,mean_minimum_temperature_c,237235,-0.02682828223411561,4.9204184197393224e-39
front_loaded_fraction,mean_vpd_kpa,237235,-0.04627480270800286,1.3150627753623412e-112
front_loaded_fraction,max_vpd_kpa,237235,-0.24995513965034147,0.0
front_loaded_fraction,mean_wind_speed_m_s,237235,-0.04942429173822994,3.374040196989609e-128
front_loaded_fraction,mean_maximum_temperature_region_month_anomaly_c,237235,-0.03684876661488007,4.477718648756688e-72
front_loaded_fraction,mean_minimum_temperature_region_month_anomaly_c,237235,-0.03691663180011981,2.466178199951647e-72
front_loaded_fraction,mean_vpd_region_month_anomaly_kpa,237235,-0.05374584497290121,2.900448606350884e-151
front_loaded_fraction,mean_wind_region_month_anomaly_m_s,237235,-0.03378337626384895,7.180334800488128e-61
front_loaded_fraction,hot_day_fraction,237235,-0.08263679158730611,0.0
front_loaded_fraction,high_vpd_day_fraction,237235,-0.09234287872878161,0.0
front_loaded_fraction,windy_day_fraction,237235,-0.1841982099883264,0.0
front_loaded_fraction,maximum_temperature_c_early_mean,105735,-0.018379741958462054,2.273401067360817e-09
front_loaded_fraction,maximum_temperature_c_middle_mean,195340,-0.04573618861782875,5.946210192376726e-91
front_loaded_fraction,maximum_temperature_c_late_mean,105735,-0.0032026327482501307,0.2976955814877574
front_loaded_fraction,vpd_kpa_early_mean,105735,0.021602437974730312,2.13784544819418e-12
front_loaded_fraction,vpd_kpa_middle_mean,195340,-0.04087217921068584,5.312301853745832e-73
front_loaded_fraction,vpd_kpa_late_mean,105735,0.030681111621072784,1.8876750545677117e-23
front_loaded_fraction,wind_speed_m_s_early_mean,105735,0.019289296748414057,3.546251946613785e-10
front_loaded_fraction,wind_speed_m_s_middle_mean,195340,-0.02133168746317429,4.138626297350817e-21
front_loaded_fraction,wind_speed_m_s_late_mean,105735,0.003592822775911981,0.2426998004011119
late_growth_fraction,mean_maximum_temperature_c,237235,0.020906277559934176,2.3415244970037333e-24
late_growth_fraction,mean_minimum_temperature_c,237235,0.016293315577797653,2.080776376678529e-15
late_growth_fraction,mean_vpd_kpa,237235,0.03923417555620914,1.8243119438203403e-81
late_growth_fraction,max_vpd_kpa,237235,0.21448081992721563,0.0
late_growth_fraction,mean_wind_speed_m_s,237235,0.045807820640538864,2.2039977196854886e-110
late_growth_fraction,mean_maximum_temperature_region_month_anomaly_c,237235,0.03286980234420785,1.0193000408113008e-57
late_growth_fraction,mean_minimum_temperature_region_month_anomaly_c,237235,0.03028305596014684,2.9339077629644388e-49
late_growth_fraction,mean_vpd_region_month_anomaly_kpa,237235,0.04720674256865477,4.098196762432084e-117
late_growth_fraction,mean_wind_region_month_anomaly_m_s,237235,0.029350843241525957,2.224412934830836e-46
late_growth_fraction,hot_day_fraction,237235,0.06889438947856011,1.92036213424855e-247
late_growth_fraction,high_vpd_day_fraction,237235,0.07616838534667134,3.9290104675210893e-302
late_growth_fraction,windy_day_fraction,237235,0.15161566707429577,0.0
late_growth_fraction,maximum_temperature_c_early_mean,105735,-0.01881101181684753,9.52157096168987e-10
late_growth_fraction,maximum_temperature_c_middle_mean,195340,0.0449238466268608,8.171626010897305e-88
late_growth_fraction,maximum_temperature_c_late_mean,105735,-0.019995199016758433,7.905080722779606e-11
late_growth_fraction,vpd_kpa_early_mean,105735,-0.0522108851474463,9.947437461116279e-65
late_growth_fraction,vpd_kpa_middle_mean,195340,0.038214565064217436,4.825987108263481e-64
late_growth_fraction,vpd_kpa_late_mean,105735,-0.05642593320225857,2.6279544759878305e-75
late_growth_fraction,wind_speed_m_s_early_mean,105735,-0.037677954135040666,1.5617386652436648e-34
late_growth_fraction,wind_speed_m_s_middle_mean,195340,0.01957469551553308,5.0490557054453e-18
late_growth_fraction,wind_speed_m_s_late_mean,105735,-0.015684127512238653,3.3920806166503875e-07
terminal_taper_fraction,mean_maximum_temperature_c,237235,-0.015038658689233398,2.3850469564162784e-13
terminal_taper_fraction,mean_minimum_temperature_c,237235,-0.004813617181742661,0.019049598764497938
terminal_taper_fraction,mean_vpd_kpa,237235,-0.05255997598662717,9.653634139610347e-145
terminal_taper_fraction,max_vpd_kpa,237235,-0.22417499926984577,0.0
terminal_taper_fraction,mean_wind_speed_m_s,237235,-0.06084907199072656,2.1755550684204302e-193
terminal_taper_fraction,mean_maximum_temperature_region_month_anomaly_c,237235,-0.04043891663142809,1.9748329603606877e-86
terminal_taper_fraction,mean_minimum_temperature_region_month_anomaly_c,237235,-0.03844882537004822,2.6145433220420406e-78
terminal_taper_fraction,mean_vpd_region_month_anomaly_kpa,237235,-0.06971614679749007,2.4110351262255906e-253
terminal_taper_fraction,mean_wind_region_month_anomaly_m_s,237235,-0.03341078195717722,1.419411627976879e-59
terminal_taper_fraction,hot_day_fraction,237235,-0.08204301042802564,0.0
terminal_taper_fraction,high_vpd_day_fraction,237235,-0.11953968818091826,0.0
terminal_taper_fraction,windy_day_fraction,237235,-0.18908709645116334,0.0
terminal_taper_fraction,maximum_temperature_c_early_mean,105735,0.003666695707715668,0.23314897575903437
terminal_taper_fraction,maximum_temperature_c_middle_mean,195340,-0.03246144748527795,1.0536344640754657e-46
terminal_taper_fraction,maximum_temperature_c_late_mean,105735,0.005871091048283495,0.05625025249573127
terminal_taper_fraction,vpd_kpa_early_mean,105735,-0.0421342047169578,9.26121841433728e-43
terminal_taper_fraction,vpd_kpa_middle_mean,195340,-0.051439930072639424,1.4360521215358136e-114
terminal_taper_fraction,vpd_kpa_late_mean,105735,-0.04522730026417723,5.250883195777886e-49
terminal_taper_fraction,wind_speed_m_s_early_mean,105735,-0.06089252929567905,2.0603416528434116e-87
terminal_taper_fraction,wind_speed_m_s_middle_mean,195340,-0.03135095880523723,1.1130743031990128e-43
terminal_taper_fraction,wind_speed_m_s_late_mean,105735,-0.04434467967169336,3.527809587373987e-47
growth_entropy,mean_maximum_temperature_c,237235,0.03850129149586687,1.616294408609783e-78
growth_entropy,mean_minimum_temperature_c,237235,0.033589644966924924,3.402269155236572e-60
growth_entropy,mean_vpd_kpa,237235,0.051977324607963664,1.3670964858804065e-141
growth_entropy,max_vpd_kpa,237235,0.22895535071506398,0.0
growth_entropy,mean_wind_speed_m_s,237235,0.02968012219718992,2.1888807863450842e-47
growth_entropy,mean_maximum_temperature_region_month_anomaly_c,237235,0.03683210873854133,5.182807567205271e-72
growth_entropy,mean_minimum_temperature_region_month_anomaly_c,237235,0.02988217696994261,5.2093502420330564e-48
growth_entropy,mean_vpd_region_month_anomaly_kpa,237235,0.04993763214633015,7.755377596475779e-131
growth_entropy,mean_wind_region_month_anomaly_m_s,237235,0.023645302408060793,1.0655423560908248e-30
growth_entropy,hot_day_fraction,237235,0.0792606976940257,0.0
