response,block,n,r2,baseline_r2,predictor_set
front_loaded_fraction,random_fire,237235,0.3844482792518945,0.0,event means
front_loaded_fraction,year_block,237235,0.38294615245439145,0.0,event means
front_loaded_fraction,region_block,237235,0.35830850818999416,0.0,event means
front_loaded_fraction,region_year_hash,237235,0.38353439569785386,0.0,event means
late_growth_fraction,random_fire,237235,0.17025685498015952,0.0,event means
late_growth_fraction,year_block,237235,0.16962647003750642,0.0,event means
late_growth_fraction,region_block,237235,0.1563719601490674,0.0,event means
late_growth_fraction,region_year_hash,237235,0.16976292049731845,0.0,event means
terminal_taper_fraction,random_fire,237235,0.3410851552761429,0.0,event means
terminal_taper_fraction,year_block,237235,0.338893439001421,0.0,event means
terminal_taper_fraction,region_block,237235,0.3312597983123059,0.0,event means
terminal_taper_fraction,region_year_hash,237235,0.3403871513957192,0.0,event means
growth_entropy,random_fire,237235,0.38667119591133126,0.0,event means
growth_entropy,year_block,237235,0.38510746334840185,0.0,event means
growth_entropy,region_block,237235,0.36399695388451225,0.0,event means
growth_entropy,region_year_hash,237235,0.3857610375178554,0.0,event means
pulse_count,random_fire,237235,0.15723030920046965,0.0,event means
pulse_count,year_block,237235,0.15604192130517436,0.0,event means
pulse_count,region_block,237235,0.14589374876146122,0.0,event means
pulse_count,region_year_hash,237235,0.15674562391577074,0.0,event means
reactivation_count,random_fire,237235,0.1600016618060196,0.0,event means
reactivation_count,year_block,237235,0.158822939853427,0.0,event means
reactivation_count,region_block,237235,0.1485736787420645,0.0,event means
reactivation_count,region_year_hash,237235,0.1595269213537941,0.0,event means
peak_timing,random_fire,237235,0.17980749735652524,0.0,event means
peak_timing,year_block,237235,0.17918295190818034,0.0,event means
peak_timing,region_block,237235,0.16905651450460535,0.0,event means
peak_timing,region_year_hash,237235,0.17944314305154763,0.0,event means
duration_days,random_fire,237235,0.559557336655087,0.0,event means
duration_days,year_block,237235,0.5570352500389046,0.0,event means
duration_days,region_block,237235,0.5311929059949088,0.0,event means
duration_days,region_year_hash,237235,0.5586835817017972,0.0,event means
final_area_km2,random_fire,237235,0.42542856234235515,0.0,event means
final_area_km2,year_block,237235,0.42173815759957345,0.0,event means
final_area_km2,region_block,237235,0.41732696378135603,0.0,event means
final_area_km2,region_year_hash,237235,0.424409352059015,0.0,event means
morph_pc1,random_fire,237235,0.5122938723413153,0.0,event means
morph_pc1,year_block,237235,0.510128596881188,0.0,event means
morph_pc1,region_block,237235,0.48715550451482315,0.0,event means
morph_pc1,region_year_hash,237235,0.5113879788892853,0.0,event means
front_loaded_fraction,random_fire,237235,0.0020055414415722783,0.0,region-season anomalies
front_loaded_fraction,year_block,237235,0.001861929905110804,0.0,region-season anomalies
front_loaded_fraction,region_block,237235,-0.0005139948106820391,0.0,region-season anomalies
front_loaded_fraction,region_year_hash,237235,0.0017510212379162615,0.0,region-season anomalies
